CITY OF MELBOURNE
24PM - 24 Hour Pedestrian Monitor

Note: If a sensor returns a series of 0 readings it may have been temporarily inoperable
Note: N/A indicates no data due to; data not available at this time; sensor not being installed at this date; or sensor not in operation


Actual Hourly Pedestrian Counts for Saturday 04 March 2023
Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Macaulay Rd (North),85,23,1,1,1,1,3,11,30,90,150,217,270,212,214,177,188,157,159,167,124,73,47,42,51
Queensberry St - Errol St (South),86,18,5,5,2,1,2,7,13,44,96,105,131,125,114,107,91,72,75,99,97,92,64,35,37
Errol St (West),87,20,10,5,3,2,4,16,45,93,186,240,284,276,248,210,186,171,159,227,190,163,96,75,52
Flagstaff station (East),88,74,42,30,22,13,12,52,65,94,151,177,204,241,240,230,217,207,185,228,256,199,168,181,140
William St - Little Lonsdale St (West),89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Trobe St - William St (South),90,60,39,25,25,8,12,28,30,65,117,123,134,144,161,170,141,147,126,145,150,146,175,106,92
114 Flinders St,91,133,65,27,19,10,15,28,47,112,186,226,271,369,354,385,371,433,569,545,514,429,324,542,493
Birrarung Marr East - Batman Ave Bridge Entry,92
Total,,15146,8719,5592,3966,2261,2118,3511,5803,11896,21590,32415,44213,55202,62566,62133,61147,61272,60133,57512,54537,45924,41872,44643,36393


Average Hourly Pedestrian Counts for Saturday over the past 52 weeks. 
Sensor,Sensor ID,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),1,156,91,57,45,22,17,29,68,243,606,1270,2075,2634,3006,3132,3140,2953,2461,1769,1387,865,599,495,335
Bourke Street Mall (South),2,155,105,76,61,20,15,22,47,146,454,997,1590,1976,2207,2308,2249,2024,1612,1041,698,575,482,491,296
Melbourne Central,3,895,596,365,276,128,87,82,114,216,448,767,1222,1770,2255,2450,2394,2319,2341,2318,2389,2266,2033,1828,1461
Town Hall (West),4,550,327,194,120,57,45,71,174,427,974,1748,2690,3412,3956,4119,3961,3772,3357,2692,2380,2043,1926,1704,1263
Princes Bridge,5,570,284,150,97,63,69,107,177,326,657,1085,1645,2170,2615,2394,2429,2733,2594,2464,2320,1923,2086,2174,1416
Flinders Street Station Underpass,6,601,304,166,114,72,81,140,242,434,752,1069,1408,1547,1688,1802,1877,1961,2015,1848,1662,1449,1374,1412,1149
Birrarung Marr,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Webb Bridge,8,25,13,6,4,3,6,24,69,115,199,291,334,341,348,351,377,364,329,271,213,148,131,129,82
Southern Cross Station,9,38,23,16,13,7,10,27,45,88,105,140,139,178,175,158,157,184,188,180,167,141,134,164,144
Victoria Point,10,22,9,6,5,4,5,20,25,53,86,109,104,93,91,97,105,118,142,156,174,133,122,138,111
Waterfront City,11,16,6,4,2,2,2,10,32,52,70,122,169,192,202,219,227,222,225,174,180,188,145,137,92
New Quay,12,79,34,15,11,6,7,24,67,125,203,316,386,432,475,479,526,584,624,743,766,624,597,563,327
Sandridge Bridge,14,238,135,88,57,45,41,61,103,187,312,428,536,554,602,626,652,681,717,677,579,533,503,541,430
Collins Place (South),17,68,33,22,15,14,23,54,70,125,197,241,301,327,311,303,318,346,388,364,329,273,224,255,207
Collins Place (North),18,30,15,9,5,4,6,10,22,56,95,132,171,206,191,190,186,197,166,140,108,88,75,96,78
Chinatown-Swanston St (North),19,366,233,140,94,36,18,15,25,56,143,315,608,947,1149,1089,1039,1040,1192,1315,1382,1251,1107,973,671
Chinatown-Lt Bourke St (South),20,260,155,79,53,23,13,17,26,44,90,223,395,575,684,554,493,559,839,952,1055,945,787,1043,841
Bourke St-Russell St (West),21,551,394,258,192,77,54,48,59,109,214,394,629,850,998,1045,1019,1025,1153,1236,1277,1153,1032,1122,898
Flinders St-Elizabeth St (East),22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Spencer St-Collins St (South),23,81,57,40,28,18,28,40,68,136,222,289,313,305,322,320,335,347,338,317,282,240,230,240,185
Spencer St-Collins St (North),24,311,180,104,77,62,75,175,270,428,612,914,1032,1089,1087,1094,1115,1122,1108,1063,873,727,675,787,670
Melbourne Convention Exhibition Centre,25,297,203,123,72,60,57,126,277,545,1129,1732,2080,2335,2652,2785,2843,2680,2382,2102,1340,1020,902,952,760
QV Market-Elizabeth St (West),26,181,139,110,91,78,73,105,172,309,592,945,1210,1357,1364,1149,934,654,514,539,526,447,364,303,268
QV Market-Peel St,27,43,34,19,15,9,11,32,70,145,246,349,418,422,422,363,296,210,182,174,153,139,114,100,80
The Arts Centre,28,157,68,49,40,24,36,68,102,189,429,811,1314,1891,2774,1963,1966,2419,1711,1676,1729,805,1151,1457,612
St Kilda Rd-Alexandra Gardens,29,91,44,27,17,9,21,53,101,161,248,419,614,772,1012,962,961,1042,1047,979,891,632,587,772,488
Lonsdale St (South),30,606,451,299,215,111,81,59,59,98,200,333,482,643,766,739,746,770,931,1009,1095,1032,1055,1093,904
Lygon St (West),31,147,48,20,13,15,11,12,35,75,116,158,221,280,325,341,373,377,445,580,742,831,813,686,426
Flinders St-Spark La,34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Southbank,35,814,399,171,102,57,70,170,385,681,1117,1622,2164,2584,2897,2958,3068,3406,3781,3874,3748,3294,2847,2949,2035
Queen St (West),36,267,227,185,114,36,19,23,39,95,146,213,217,239,246,233,244,243,256,269,285,307,326,436,452
Lygon St (East),37,89,35,16,9,6,10,6,17,39,93,129,173,208,244,237,228,232,287,219,558,393,423,473,270
Alfred Place,39,52,28,17,11,7,8,13,36,81,138,142,129,134,141,130,144,149,175,172,135,108,105,86,105
Lonsdale St-Spring St (West),40,58,30,16,13,8,10,25,48,86,130,176,306,469,316,302,255,367,310,364,244,192,159,326,143
Grattan St-Swanston St (West),42,27,17,12,8,4,5,12,21,38,58,93,102,116,131,126,120,115,122,102,83,69,68,60,39
Monash Rd-Swanston St (West),43,27,16,6,5,2,3,7,17,39,65,73,90,89,100,86,80,76,75,61,46,35,41,38,31
Tin Alley-Swanston St (West),44,13,6,3,2,1,2,7,12,22,35,43,51,47,53,48,48,49,46,39,28,21,21,19,16
Little Collins St-Swanston St (East),45,415,264,166,97,40,31,51,81,196,400,634,999,1382,1766,1860,1729,1667,1631,1443,1444,1317,1208,1105,794
Flinders La-Swanston St (West),41,979,619,410,261,163,175,257,338,708,1345,2096,2876,3455,3810,3814,3679,3722,3610,3244,2897,2459,2394,2403,1865
Pelham St (South),46,22,14,9,5,3,3,6,17,27,46,58,69,78,83,83,82,83,88,79,76,66,57,48,38
Melbourne Central-Elizabeth St (East),47,378,257,177,129,68,65,88,144,328,719,1157,1635,1906,2213,2250,2162,1990,1862,1609,1416,1186,1007,865,692
QVM-Queen St (East),48,71,48,30,24,18,25,55,91,172,326,477,605,626,635,557,457,339,275,262,231,208,173,143,120
QVM-Therry St (South),49,87,73,54,40,34,37,47,76,121,224,375,501,558,543,433,334,225,150,149,149,140,129,114,121
Faraday St-Lygon St (West),50,50,16,10,5,6,8,9,23,72,216,330,457,527,549,558,545,515,521,572,622,586,475,305,146
QVM-Franklin St (North),51,53,32,26,18,15,16,29,56,80,142,207,272,281,294,282,242,205,185,179,171,128,122,101,85
Elizabeth St-Lonsdale St (South),52,346,240,150,108,34,22,20,34,98,187,313,450,556,687,640,652,598,563,646,667,636,598,599,572
Collins St (North),53,128,74,48,28,15,14,27,67,205,489,826,1191,1340,1454,1437,1345,1219,938,661,576,459,406,401,294
Lincoln-Swanston (West),54,63,44,32,27,15,11,12,23,43,70,105,138,166,210,231,215,218,226,214,211,199,173,129,97
Lonsdale St - Elizabeth St (North),56,175,126,97,87,65,59,29,54,124,246,372,470,541,627,590,587,545,622,633,632,520,453,387,314
Bourke St Bridge,57,55,25,14,14,9,10,31,43,86,129,214,230,320,491,320,667,1121,533,866,1388,330,425,914,352
Bourke St - Spencer St (North),58,245,152,109,54,38,45,83,153,290,459,663,797,853,834,808,826,872,858,817,711,505,454,525,420
RMIT Building 80,59,184,108,73,58,26,21,31,63,131,251,378,492,634,834,972,899,861,858,766,675,497,433,379,298
RMIT Building 14,61,112,71,51,41,22,22,36,59,142,231,351,443,508,557,597,562,556,560,516,480,386,343,264,198
Elizabeth St-La Trobe St (East),55,878,468,350,286,164,127,149,244,455,883,1380,1768,2268,2694,2725,2539,2456,2447,2548,2628,2247,2030,1631,1571
La Trobe St (North),62,139,95,76,64,50,42,80,61,101,159,218,266,323,371,363,336,314,320,350,348,315,288,269,205
231 Bourke St,63,317,234,159,115,42,23,36,75,142,274,450,648,859,918,950,909,846,805,733,712,695,585,801,568
Royal Pde - Grattan St,64,16,7,5,4,3,6,16,19,34,52,63,73,90,97,103,98,95,90,73,56,46,34,28,20
Swanston St - City Square,65,277,167,103,61,26,21,44,68,144,265,413,653,878,1201,1140,1031,1244,1199,1089,1130,995,914,897,621
State Library- New,66,396,240,117,74,37,30,39,71,173,414,805,1260,1780,2287,2542,2519,2460,2410,2111,2000,1754,1494,1161,787
Flinders Ln -Degraves St (South),67,125,76,48,28,15,14,41,97,240,503,679,731,806,820,831,820,738,666,570,515,476,407,352,288
Flinders Ln -Degraves St (North),68,22,10,2,1,0,1,6,44,106,227,333,392,424,443,424,389,333,252,197,160,117,92,71,49
Flinders Ln -Degraves St (Crossing),69,9,4,2,2,1,1,7,28,87,197,289,332,368,358,344,305,251,185,114,94,79,58,40,26
Errol Street (East),70,19,11,5,3,3,3,9,36,88,194,296,338,337,298,271,255,257,298,348,343,296,220,177,90
Westwood Place,71,11,12,5,6,9,7,8,10,11,20,38,61,45,20,21,23,31,61,57,28,20,15,16,16
Flinders St- ACMI,72,224,128,52,26,18,37,55,76,145,258,376,546,689,780,795,809,957,1036,921,882,746,754,947,754
Bourke St - Spencer St (South),73,77,49,41,30,25,19,29,47,90,141,173,183,239,286,247,262,261,250,201,192,156,188,244,259
Spring St- Flinders St (West),75,19,9,4,4,3,8,30,38,29,41,51,73,89,88,112,89,118,126,133,121,61,43,104,52
Macaulay Rd-Bellair St,76,5,2,1,1,1,1,4,22,59,125,154,163,133,113,96,88,87,91,80,59,41,25,16,12
Harbour Esplanade (West) - Pedestrian Path,77,37,19,8,6,4,4,18,63,110,178,265,293,304,326,314,365,414,393,394,411,268,209,188,135
Harbour Esplanade (West) - Bike Path,78,11,7,6,4,2,2,9,34,56,87,116,119,119,128,130,125,130,111,109,123,101,90,104,80
Flinders St (South),79,359,235,153,110,71,62,84,143,248,444,703,955,1099,1189,1159,1141,1196,1214,1178,1104,901,900,1069,850
Elizabeth St - Flinders St (East) - New footpath,84,505,327,230,175,126,96,134,259,536,919,1318,1681,1931,2167,2233,2279,2240,2193,1966,1745,1585,1452,1413,1118
Macaulay Rd (North),85,11,2,1,1,1,2,7,27,83,149,207,232,214,195,172,157,143,137,129,95,59,30,25,19
Queensberry St - Errol St (South),86,11,7,4,2,2,2,6,16,47,87,124,141,136,123,104,89,82,84,104,92,76,45,37,25
Errol St (West),87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flagstaff station (East),88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
William St - Little Lonsdale St (West),89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
La Trobe St - William St (South),90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
114 Flinders St,91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Birrarung Marr East - Batman Ave Bridge Entry,92
Total,,14712,9011,5696,3995,2264,2091,3316,5894,11776,22278,35095,47851,58046,66294,65660,64516,64729,61901,57940,55008,45546,41961,42314,31236
